Description,Narrative
TEACHING GUIDES (DM),"PATHOPHYSIOLOGY:
It is a disease in which the body does not produce or properly use insulin. Insulin is a hormone produced in the pancreas and is necessary for the body to turn sugar and other foods into energy. A lack of insulin leads sugars to build up to unsafe levels in the blood. "" Prediabetes"" is when blood glucose (sugars) are higher than normal, but not yet diabetic. 1. Prediabetics have an increased risk for developing type 2 diabetes, heart disease, and stroke. 2. They have impaired fasting glucose levels (100 to 125 mg/dl). 3. They have impaired glucose tolerance (fasting glucose less than 126 mg/dl and a glucose level between 140 and 199 mg/dl 2 hours after taking an oral glucose tolerance test).

Types of diabetes: 1. Type 1 diabetes is usually diagnosed in childhood. Daily injections of insulin are required to sustain life. 2. Type 2 diabetes usually occurs in adulthood. The pancreas does not make enough insulin to keep blood glucose (sugar) levels normal. Many people do not know they have this type. This type es becoming more common because of age, obesity, and a lack of exercise. 3. Gestational diabetes is high blood glucose levels that develop at any time during pregnancy in a person who does not have diabetes.

RISK FACTORS:
A parent, brother, or sister with diabetes. Obesity.  Age greater than 45 years. Members of some ethnic groups (particularly African American and Hispanics). Gestational diabetes or delivering a baby weighing more than 9 pounds. High blood pressure. High triglyceride or cholesterol levels. The American Diabetes Association recommends that all adults be screened for diabetes at least every 3 years. A person at high risk should be screened more often.

S/SX OF DM:
1. Symptoms of type 1 diabetes, increased thirst, increased urination, weight loss in spite of increased appetite, fatigue, nausea, vomiting. 2. Symptoms of type 2 diabetes, increased thirst, increased urination, increased appetite, fatigue, blurred vision, slow-healing infections, impotence in men.

Urine analysis to check for glucose and ketones. Fasting blood glucose level. Random (non-fasting) blood glucose level. Oral glucose tolerance test. Hemoglobin A lc to measure the average months. A non-diabetic person has a value of 5%. The diabetic client should try to keep it below 7%.

Know when and what to eat. Know how to test and record blood glucose. Know how to test urine for ketones (type 1 diabetics) know how to recognize and treat low blood sugar (hyperglycemia)  and high blood sugar (hyperglycemia). Know how to take insulin and/or oral medication. Know how to adjust insulin and/or food intake when changing exercise and eating habits.

MEASURES TO PREVENTS DM:
Achieve and maintain ideal weight. Some people with type 2 diabetes find that they no longer need oral medication if the lose weight and increase daily activity. The diet should be, consistent in carbohydrates during three meals and three snacks, a registered dietician can help in learning glycemic index of foods, exercise, oral medications, foot care, eyes care, skin care, and dental care.

POSSIBLE COMPLICATIONS:
Diabetic hyperglycemic hyperosmolar coma. It is caused by complications of type 2 diabetes and extremely high blood glucose (sugar) levels without presence of ketones. The symptoms are decreased consciousness, extreme dehydration, and very high blood  glucose (sugar) levels (600 to 2400 mg/dl). It can be triggered by infection or increased fluid loss. Symptoms are elevated pulse. low blood pressure, speech impairment, confusion, convulsions, and coma. Diabetic ketoacidosis results from extremely high blood sugar levels causing metabolic acidosis. Symptoms are as follows:Increased thirst and urination, nausea, deep and rapid breathing, abdominal pain, sweet-smelling breath, loss of consciousness. Hypoglycemic coma or severe insulin reaction. Symptoms are as follows:  weakness and drowsiness, headache, confusion, dizziness, double vision, lack of coordination, convulsions, unconsciousness.Diabetic retinopathy-damage to retina possibly leading to blindness. Diabetic nephropathy-kidney damage, Diabetic neuropathy-loss of sensation in extremities, loss of bladder control, and impotence. Hyperlipidemia. Hypertension-strokes. Coronary artery disease, peripheral vascular disease, atherosclerosis. Amputation of extremities."
TEACHING GUIDES (Energy Conservation),"It decreases the physical stress on the body and promotes healing. It decreases consumption of oxygen in the body. It is needed for those with respiratory diseases and with physical limitations.

Perform stretching and relaxation exercises before getting out of bed. Use a tub seat and handheld showerhead when bathing when bathing. Rest  before difficult tasks. Take frequent rest periods during the activity. Pace activities, and do not rush. Plan trips before going up and down stairs. Roll, push, or pull instead of lifting. Use a cart to carry things. Organize work area, and keep frequently used items reach. Avoid having a work area that is too high or too low. Delegate work heat and cold. Schedule activity when most able to tolerate it (i.e., after res periods, after pain medication, and at least 1 hour after meals). Sit to perform an activity instead of standing, when possible. Hold objects close to you instead of away from your body. Use arm supports to perform an activity (i.e., resting elbows on table while shaving, brushing teeth, and eating). Limit activity on days of high air pollution."
TEACHING GUIDES (Foley Catheter Care),"PHATHOPHYSIOLOGY:
It is a catheter inserted through the urethra into the bladder to drain the urine. It is usually  inserted because of: -Incontinence (inability to hold urine). -A neurogenic bladder. -Obstruction causing and inability to release urine. An indwelling Foley catheter is held in place (in the bladder) by a small balloon filled with water.

CATHETER CARE PROCEDURE:
Wash hands well before and after touching the catheter. Use mild soap and water to wash the area around the catheter and perineal area. Wash the catheter by cleaning gently from the meatus outward. For males, retract foreskin 0.5 to 1 inch to cleanse, being sure to replace it when finished. Do not use powders or lotions after cleaning. Procedure should be done at least daily and after each bowel movement. Indwelling catheters should be changed only as necessary. Changing the catheter more frequently only increases chance of infection developing.

CATHETER BAGS AND CATHETER TUBING:
Maintain good drainage by checking frequently for kinks or loops in the tubing. Secure catheter tubing to leg to prevent pulling or tension on catheter. Change anchoring sites by alternating sites daily. Use the inner thighs for women and the upper thighs for men. Keep drainage bag below level of the bladder at all times to prevent infection. Empty bag at least every 8 hours or when drainage bag is just over half full. If catheter and tubing are disconnected, wipe the end of both with antiseptic solution before reconnecting them.  Drainage bags may be reused after careful cleansing: -Rise inside of bag with soapy water and them rinse with clear water. Fill the bag with one part vinegar to four parts water and soak for 30 minutes. -Empty the bag, and let it air dry. -Store in clean, dust-free place.

HOW TO EMPTY A DRAINAGE BAG:
Free the drain tip from holder on drainage bag. loosen the clamp and drain urine. Let the urine drain into the toilet or measuring container while being careful not to let the tip touch anything. Reclamp the tube and clean tip before replacing in holder..

HOW AND WHEN TO USE A LEG DRAINAGE BAG:
Leg collection bags are usually used during the day. They usually only hold about 500 ml of urine. The leg bag is attached to the leg with straps. Use cloth or Velcro straps to avoid possible irritation from rubber straps. A drainage valve or cap is secured at the bottom opening of the bag. Use the same precautions when changing or draining the leg bag as when using the large drainage bag.

MEASURES TO PREVENT:
Monitor and record urine output for amount and color of urine. Stress increased intake of clear fluids (10 to 15 glasses per day). Unless prohibited by physician, try drinking cranberry, plum, and prune juices along with water, as they help increase the acidity and prevent infection. Keep intake of caffeine and alcohol to limited amount. Showering and bathing may be done as ordered by physician. Review signs, symptoms, or problems to report promptly, such as: -A lack of urine output longer then 4 hours. -Persistent leakage  around catheter. -Pain swelling, or tenderness around catheter. -A break in the catheter or if the catheter falls out. -Fever or chills. A latex-free catheter may be needed if client has latex allergy.

POSSIBLE COMPLICATIONS:
Urinary-tract infection: cloudy urine, foul odor, fever, and pain in bladder area. Blocked catheter: lack of urine draining into catheter and firm,distended abdomen."
TEACHING GUIDES (Folic Acid Deficiency),"PATHOPHYSIOLOGY:
It is a decrease in red blood cells caused by folate deficiency. It can result from: -Poor dietary intake of folic acid. -Malabsorption diseases such as celiac disease. -Some medications. - Increased need for folic acid during pregnancy.

RISK FACTORS:
Poor diet (frequently seen in older or poor populations). Alcoholism.

S/SX:
Fatigue, Headache, Sore mouth and tongue, Pallor (paleness).

MEASURES USED TO TREAT FOLIC  ACID DEFICIENCY:
Replacement therapy may used on a short-term basis or may be lifelong. Dietary treatment uses increased intake of green, leafy vegetables and citrus fruit.

DISCUSS COMPLICATIONS OF UNTREATED FOLATE DEFICIENCY:
In a pregnant woman, this deficiency has been associated with neural tube or spinal defects such as spina bifida in the infant."
TEACHING GUIDES (Fracture),"DEFINE FRACTURE:
It is break in the bone. Surrounding soft-tissue injury can also occur. Fractures can be caused by trauma or disease.

STATE TYPE OF FRACTURE THAT OCCURRED:
Open (skin pierced over the fracture). Closed (skin intact over the fracture). Complete (break across entire bone). Incomplete (fracture extends only part way through the bone), also called green-stick fracture. Impacted (one bone fragment forcibly driven into another bone fragment). Comminuted (bone broken in several places). Displaced (bone fragments are separated at the fracture line). Complicated (a body organ or other body tissues injured at he time of the fracture).

S/SX:
Deformity. Pain and tenderness. Restricted or limited mobility. Swelling. Bruising. Muscle spasm. Pallor. Numbness and tingling. Shortening of a limb.

ADMINISTER FIRS AID TO A FRACTURE VICTIM:
Move the victim no more than absolutely necessary to prevent further tissue  damage. Assess client's total condition. Remove constricting clothing or jewelry. Cover open wounds with sterile dressing before splinting. Splint injured site before moving to immobilize the joint above and below the fracture. Apply well-padded splints and bandage splints over clothing.

POSSIBLE MEDICAL/SERGICAL TRATMENT OF FRACTURES:
Close reduction (manual realignment of bones). Immobilization of bone. Electrical bone stimulation. Cast, splint, traction, sling, or external fixator. Total joint replacement.

MEASURES TO PROMOTE HEALING AND PREVENT COMPLICATIONS OF A FRACTURE:
Report to physician any signs of coolness, pallor, redness, blueness, numbness, or signs of infection. Eat a well-balanced diet that is high in carbohydrates and proteins. Eat foods that are high in calcium. Take vitamin (A, B, C, and D) and mineral (calcium and zinc) supplements as recommended. Increase fluids to 8 to 10 glasses per day unless contraindicated. Use medications (analgesics, antibiotics, muscle relaxants, etc.) as ordered. Follow activity and weight-bearing instructions as ordered. Use ambulatory aids (cane, walker, and crutches) as ordered. Follow ans exercise program as ordered. Follow referral to physical or occupational therapy. Use safety precautions in environment to prevent falls or injury. Keep follow-up appointments with physician.

POSSIBLE COMPLICATIONS:
Infection. Peripheral nerve damage. Fat embolism. Shock. Compartment syndrome. Venous thrombus."
TEACHING GUIDES (Gallbladder and Gallbladder Diseases),"DEFINE FUNCTION OF GALLBLADDER AND BILIARY SYSTEM:
It is a muscular sac located under the liver. It stores and concentrates the bile produced in the liver. It has excess bile that is not immediately needed for digestion. The bile is released into the small intestine in response to food The cystic duct drains the gallbladder. The common bile duct drains into the duodenum. These two ducts for the biliary system.

DEFINE DISEASES OF THE GALLBLADDER:
Gallstones are formed in the gallbladder. They are made up of water, salts, lecithin, cholesterol, and other substances. They can be of various sizes, ranging from sand size particles to larger than 8mm. Biliary colic is when a stone is blocking the opening from the gallbladder. If the stone blocks the cystic duct for a period of time, acute cholecystitis will occur. If the blockage persist, bacteria can grow, resulting in cholangitis. Stones that block the lower end of common bile duct may obstruct secretion from the pancreas and produce pancreatitis.

S/SX:
Abdominal pain that: -Is in the right upper abdomen or the middle of the upper abdomen. -May be recurrent. -May be sharp, cramping, or dull. -May radiate to the back or below the right should blade. -May be made worse by eating fatty or greasy foods. -Can occur within minutes of a meal. Jaundice. Fever. Clay-colored stools. Nausea and vomiting. Heartburn. Excess gas. Abdominal fullness.

LIST TEACHING NEEDS FOR CLIENTS WITH GALLBLADDER DISEASE:
Nutrition instruction should include the following: -Understand and follow diet as prescribed. -High-fiber and low-fat diets are often recommended (check therapeutic diet chapter). -Eat small, more frequent meals to prevent attacks. -Replacement of water-soluble vitamins (vitamin A, D, E, and K) can sometimes be ordered by physician. When to contact physician: -Severe pain. -Jaundice. -Fever. Changes in color of stool or urine. Take medication as prescribed. Types or medication might include the following: -Pain medication. -Medication to relax smooth muscles ans spasm of gallbladder. -Medication to reduce nausea and vomiting. A follow-up appointment with physician and/or surgeon es given at time of discharge."
TEACHING GUIDES (Gastroesophageal Reflux),"DEFINE GASTROESOPHAGEAL REFLUX (GERD):
The esophagus carries food from the mouth to the stomach. A ring of muscle at the bottom of the esophagus acts like a valve between the esophagus ans stomach. When that ring or sphincter does not close properly, stomach contents may leak back into the esophagus. Stomach contents contain acid, and when they touch the lining of the esophagus, they crate a burning sensation called heartburn.

SYMPTOMS OF GERD AND EXPLAIN WHEN TO SEEK MEDICAL ATTENTION:
Symptoms for adults with GERD are: -Heartburn, which is the most common symptom (GERD can be present without this symptoms). -Excessive clearing of the throat. -Problems swallowing. -Feeling that food is stuck in your throat. -Burning in the mouth. Chest pain. Symptoms for children with GERD may be: -Repeated vomiting. -Coughing. 
-Respiratory problems. -Most babies will outgrow GERD by the age of 1 year. Reasons to consult with physician are: -Heartburn or others symptoms more than twice a week. -The use of antacids for more than 2 week.

METHODOS OF TREATMENT AND MEASURES TO MANAGE THIS CONDITION:
Medication ordered by physician: -Take medicine as ordered. -Consult the physician if medication is not effective. Lifestyle changes recommended by physician: -Do not consume alcohol. -Do not smoke -Lose weight if necessary. -Eat smaller, more frequent meals. -Wear loose-fitting clothing. -Avoid lying down for 3 hours after eating. -Raise the head of bed 6 to 8 inches by placing blocks of wood under the bedposts. -Use foam wedge to elevate head, but avoid pillows. Pillows create more pressure on stomach. Nutritional recommendations are to avoid the following: --Chocolate. -Drinks with caffeine or carbonation. -Fatty and fried food. -Garlic and onions. -Mint flavorings. Spicy foods. -Tomato-based foods such as chili and pizza.

POSSIBLE COMPLICATIONS:
Prolonged irritation can result in bleeding, ulceration, or scar formation of the esophagus. Development of Barrett's esophagus that over time can lead to cancer. GERD can aggravate condition such as asthma, chronic cough, and pulmonary fibrosis. There may be a need for surgical repair."
TEACHING GUIDES (Gastrostomy),"PATHOPHYSIOLOGY:
It is a catheter inserted surgically through the abdomen into the stomach for the purpose of feeding the client. It is used when a client is unable to swallow for a long period of time and in order to provide complete nutrition. They are larger in diameter than most nasogastric tubes. This could result in less chance of the tube becoming blocked. The feeding can be given continuously or intermittently.

FEEDING PROCEDURE:
Gather all equipment. Wash hands well. Put client in an upright position. Aspirate stomach contents to check residual and then return aspirated contents to stomach. (Hold feeding if residual is grater than 50 to 100 ml and notify physician.) Check feeding solution for expiration date. Warm feeding solution to room temperature. Remove clamp and attach bulb syringe to end of gastrostomy tube. If giving bolus feeding. -Pour room temperature feeding solution into syringe and adjust height of syringe to increase or decrease rate of flow. allowing approximately 20 to 30 minutes to infuse. If using pump or continuous feeding. -Pour room-temperature feeding solution into bag and prime tubing by filling with formula to prevent air from going into stomach. -Connect to pump and attach to gastrostomy tube. -Set the pump for quantity to be infused and at what rate. Flush tube after feeding with approximately 30 ml of water or as ordered. Clamp tube securely. Client should remain in an upright position at least 15 to 30 minutes after a meal.

MEASURES FOR SKIN CARE AROUND TUBE:
Keep skin around tubing clean and dry. Apply dressing or ointments as ordered. Report any sings of wound infection (i.e.,fever redness, drainage, odor, and tenderness).

MEASURES TO PREVENT COMPLICATION:
Wash hands well and keep work area very clean to prevent infection. Weigh regularly to detect any weight loss. Keep head of bed elevated at least 30 degrees to prevent aspiration. Refrigerate opened cans of feeding solution and discard after 24 hours to prevent spoilage. Hang only the amount of feeding that will infuse in 4 hours to prevent spoilage and accidental excess infusion. Use a delivery pump for a continuous feeding to assure a correct rate of flow. Infuse slowly at rate ordered by physician to decrease nausea. Flush tube as ordered to prevent clogging. Have client sit in an upright position after eating to prevent aspiration. Assess and monitor blood sugar if diabetic, and report to physician. Wear Medic Alert bracelet to inform others of medical information. Report to physician any intolerance to feedings (i.e., nausea, vomiting, cramping, diarrhea, and abdominal distention). Keep follow-up appointments with physician and laboratory.

POSSIBLE COMPLICATIONS:
Tube obstruction, Aspiration pneumonia, Diarrhea, nausea, or vomiting. Local skin infection. Inadvertent removal of the tube."
TEACHING GUIDES (Hepatitis),"DEFINE HEPATITIS AND THE TYPES OF HEPATITIS:
Hepatitis is an inflammation of the liver that can result in malfunction and liver damage. It can be acute or chronic. The most common cause of hepatitis is a viral infection. forms of viral hepatitis are: -Hepatitis A (infectious hepatitis or HAV). -Hepatitis B (serum hepatitis or HBV). -Hepatitis C (HCV). -Hepatitis D (HDV). -Hepatitis E HEV). Forms of non viral hepatitis are: -Toxic hepatitis- develops after exposure to chemicals toxic to the liver. -Drugs induced hepatitis-develops as a result of drug reaction.

MODO OF TRANSMISSION FOR EACH FORM OF HEPATITIS:
HEPATITIS A: (incubation period of 3 to 5 weeks) is transmitted by: -Oral route from feces (stool) and saliva of infected person. -Contaminated water, food , and equipment. HEPATITIS B: (incubation period of 2 to 5 months) is transmitted by: -Infected blood products, needles, and dental and surgical equipment. -Sexually through vagina secretions and semen of carriers or with active infection. HEPATITIS C: (incubation period of 2 to 20 weeks) is transmitted by: -Infected blood or blood products. -Sexual contact. HEPATITIS D: (incubation period 2 to 5 months) is transmitted by: -The same way as hepatitis B and occurs as dual infection but not alone. HEPATITIS E: (incubation period is 2-9 weeks) is transmitted by: -Fecal (stool) to oral method. There is low risk of person-to person contact but can be severe in pregnant women.

S/SX:
Sings and symptoms are divided into three phases of hepatitis: preicteric, icteric, and posticteric. The preicteric phase has the following symptoms: -Nausea and vomiting. -A loss of appetite  and weight loss. -Fever. -Complaints of tiredness. -Headaches and joint pain. -Discomfort in the right upper quadrant of abdomen. -Enlargement of the spleen, liver, and lymph nodes. -Rash and urticaria (itching of skin). The icteric phase has the additional symptoms: -Jaundice (yellowing tint to skin and eyes). -Pruritus. -Clay-or light-colored stools. -Dark urine. The posticteric phase has the following symptoms: -Ending of previous symptoms. -Liver enlargement. -Continued fatigue.

MEASURES TO PREVENT HEPATITIS INFECTIONS:
Receive vaccinations against hepatitis A,B, and E. Perform thorough hand washing techniques, especially after using toilets. Perform good personal and environmental hygiene. Obtain adequate rest and eat well-balanced diet. Use safe sex practice. Report any known exposure. You may receive immune globulin. Use standard precautions: -Wear gloves if hands come in contact with body fluids. -Wear gown and face shield of body fluids may be splashed. Do not share razors, toothbrushes, or needles. Use household bleach solution (10 parts water to one part bleach) to clean any surface contaminated with blood or feces (stool). Avoid drinking or using any potentially contaminated water. Screen food handlers. Screen public salad bars for presence of sneeze guards and hygienic devices and practices to prevent contamination. Require child care provides to wear gloves during diaper changes and to use routine hand washing. Do not share cigarettes, eating utensils, or beverage containers. Use liquid soap dispensers and electric hand dryer in public restrooms. Avoid placing gingers or hand held objects in mouth.Avoid alcohol and drugs that may cause further damage to liver. Avoid eating raw seafood.

MEASURES TO MANAGE HEPATITIS:
Assess and report any signs of bleeding, confusion, edema, lethargy, and weight changes. Decrease itching: -Take medications or apply lotions as prescribed. -Take cool showers and avoid high temperatures. Keep fingernails short to prevent skin irritation if scratching. -Wear cotton, loose-fitting clothing. Provide general comfort measures: -Quiet environment. -Good mouth care. Good hygiene. Provide adequate nutrition: _Offer small, frequent meals. Because of lack or appetite, try to offer foods that appeal to client and use some Fat (in moderation) to make food appealing to the taste. -Offer high-calorie, high-protein nutritious foods. Check with physician regarding protein content. High levels of ammonia can indicate a need to restrict protein intake. Increase fluids to two liters per day unless contraindicated. Weigh daily, weekly, or ordered. Avoid alcohol. Rest as ordered. Avoid heavy lifting. Use an electric razor and soft-bristled toothbrush to prevent bleeding. Avoid alcohol and drugs that may cause further damage to liver. Avoid over-the counter medications unless recommended by physician, especially aspirin and aspirin products. Keep follow-up appointments with physician and laboratory.

POSSIBLE COMPLICATIONS:
Need for liver transplant. Liver cirrhosis. Hepatitis coma and death."
TEACHING GUIDES (Herpes Zoster) (Shingles),"DEFINE HERPES ZOSTER (SHINGLES):
It is caused by they varicella-zoster virus, the same virus that caused the chicken pox. After you have had chicken pox, the virus lies dormant (not active) in your nerves. Years later, the virus may reactivate in the form of shingles. Pain from this disease can be severe. Risk factors are aging, stress, and impaired immune system.

SYMPTOMS OF HERPES ZOSTER:
It spreads along the nerve tract and causes pain and/or a burning sensation. Symptoms appear on one side of the body or face. A red rash appears with fluid-filled blisters that begin a few days after the pain. Fever appears. Headaches occur. Upset stomach occurs.

MEASURES TO PREVENT THE SPREAD OF SHINGLES AND HOW TO MANAGE THE SYMPTOMS:
Measures to prevent spread: -Until  blisters dry and have scabs, avoid contact with anyone who has never had chicken pox, has a weak immune system, newborns, and pregnant women. -Varivax was approved in 1995 as immunization for prevention of shingles. Children got immunized between the ages 12 ans 18 months. Older children and adults who have never had chicken pox can receive this vaccine. The Zostavax vaccine was approved in 2006 for use to prevent shingles. It is recommended for adults over 60 years of age who have had chicken pox but not shingles. Measures to manage disease; -Physician may order pain medication, antidepressant, or anticonvulsant medication for relief of pain. -Keep the affected area clean. -Apply cool, wet compresses to affected areas. -Soak in a tub of lukewarm water or use calamine lotion to relieve itching and discomfort. -Get plenty of rest. -Maintain a healthy diet. -Consult the physician regarding the use of over-the-counter pain relievers.

Postherpetic neuralgia, which occurs when the skin remains painful and sensitive to the touch for months or even years. Inflammation of the brain (encephalitis) Hearing problems. Temporary or permanent blindness. Loss of facial movements. Secondary skin infections."
TEACHING GUIDES (Hiatal Hernia),"UNDERSTANDING OF THE ANATOMY OF THE ESOPHAGUS, STOMACH, AND DIAPHRAGM:
The diaphragm is a large sheet of muscle that separates the abdomen from the chest cavity. The esophagus (the food tube) extends down through a small opening in the diaphragm to connect to the stomach. The stomach lies just below the diaphragm.

DEFINE A HIATAL HERNIA:
Hernias occur when one part of the body protrudes through a gap or opening into another part. Hiatal hernia occurs when the muscle tissue surrounding this opening becomes weak and the upper part of the stomach bulges through the diaphragm into the chest cavity.

RISK FACTORS:
Congenital weakness. Advanced age. Smoking. Prolonged illness. Obesity. Pregnancy. Tumors. Restrictive clothing. Heavy lifting.

S/SX:
Heartburn (burning sensation in the esophagus). Belching. Regurgitation of sour tasting liquid in the mouth. Difficulty swallowing because of muscle spasms. Chest pain. Symptoms become worse when leaning forward, straining, lifting heavy objects, lying down, and during pregnancy.

MEASURES TO MANAGE OR PREVENT SYMPTOMS:
Nutritional measures: -Avoid caffeine, coffee, soda, chocolate, and so forth. -Avoid onions, spicy foods, spearmint, and peppermint. -Limit citrus fruits and tomato-based foods. -Limit fatty foods. -Eat small, frequent meals. -Increase fluids. -Increase fiber to prevent constipation. Drink water after meals to cleanse the esophagus. Wait at least 3 hours after eating before going to bed or lying down. Avoid eating before going to bed at night. Do not exercise immediately after eating. Avoid smoking. Lose weight if you are overweight. Elevate the head of your bed. Raise the head of the bed 6 to 9 inches. Use blocks to raise the bed or a foam wedge to raise the mattress. Do not use pillow because they will increase pressure on your abdomen. Avoid wearing tight clothing. Discuss medications with physician for possible causes of heartburn. Do not use over the counter medications without physician approval. Reduce stress by relaxation techniques such as deep breathing, meditation, tai chi, or yoga. Avoid heavy lifting. Take medications as ordered. Keep follow-up appointments with physician.

POSSIBLE COMPLICATIONS:
Gastroesophageal reflux disease. Ulceration of the herniated portion of the stomach. Gastritis. Lung aspiration. Slow bleeding and iron-deficiency anemia."
TEACHING GUIDES (Hypertension),"PATHOPHYSIOLOGY:
It is the occasional or continued elevation of diastolic or systolic pressure. The systolic reading (the top number) represents the pressure exerted on the blood vessel wall when the heart is contracting. The diastolic reading (the bottom number) represents the pressure on the blood vessel while the heart is at rest.

Normal blood  pressure readings should be 120/80 or below. If your systolic reading is 120 to 139 or diastolic is 80 to 89 (or both), then this is considered ""prehypertension."" High blood pressure is a pressure of 140 systolic or higher and/or 90 diastolic or higher that stays elevated over time.

S/SX OF HYPERTENSION:
Dizziness. Headaches, often described as throbbing or pounding. Palpitations. Blurring of vision. Fatigue. Nosebleeds. Insomnia. Nervousness. Chest pain (angina). Shortness of breath (dyspnea).

RISK FACTORS:
Age (persons older than 35 years). Black, close blood relative with hypertension, overweight, stress, high sodium intake, high cholesterol intake, oral contraceptives. cigarette smoking, excessive alcohol use, history of diabetes, gout. or kidney disease, sedentary lifestyle.

MEASURES TO PREVENT HYPERTENSION:
Monitor blood pressure at home, and know what it should be. Take medication exactly as prescribed. Lifestyle changes to reduce stress. Eat balanced meals low in saturated fat, cholesterol, and sodium. Stop smoking (use tobacco-cessation teaching guide). Avoid oral contraceptives. Avoid alcohol. Have regular medical checkups. Avoid over-the-counter medications unless recommended by physician. Exercise regularly. Use Medic Alert cards/bracelet.

POSSIBLE COMPLICATIONS:
A. Myocardial infarction
B. Heart failure
C. Stroke
D. Kidney failure
E. Malignant hypertension"
TEACHING GUIDES (Hyperthyroidism),"BASIC UNDERSTANDING OF THE ANATOMY AND PHYSIOLOGY OF THE THYROID GLAND:
The thyroid gland is located in the lower neck and in front of the trachea. Is is divided into two lobes and is joined by a band of tissue called the isthmus, making it resemble a butterfly. It concentrates iodine from food and uses it to synthesize two hormones. These two hormones regulate the body's metabolic rate.

DEFINE HYPERTHYROIDISM AND POSSIBLE CAUSES:
It is a syndrome that occurs when the thyroid gland produces an excess of thyroid hormones. Excess thyroid hormones cause an increased rate at which the body uses energy. Noncancerous lumps growing in the thyroid gland can also increase the production of hormones and cause hyperthyroidism. Grave's disease (an autoimmune disorder) can attack the thyroid gland and cause overproduction of hormones.

S/SX:
Heat intolerance, sweating. Sudden weight loss. Alterations in appetite. Frequent bowel movements. Changes in vision. Fatigue and muscle weakness. Menstrual disturbance. Impaired fertility. Mental disturbances possibly depression. Sleep disturbances. Tremors. Thyroid enlargement. Rapid heartbeat. Wider, swollen or red eyes. In severe cases exophthalmos, in which eyes appear to protrude because of enlarged muscle and fatty tissue surrounding the eyes.  

MEASURES TO ALLEVIATE SYMPTOMS OF HYPERTHYROIDISM:
RESTLESSNESS: -Avoid emotional or physical stimulation until metabolism returns to normal. -Avoid excessive exercise and plan for rest periods. -Avoid caffeine, yellow and red food dyes, and artificial preservatives. -Avoid aspirin and aspirin products.WEIGHT LOSS: -Eat a high-carbohydrate, high-protein diet. -Monitor weight on a regular basis. DIARRHEA: -Avoid highly seasoned foods. -Use BRAT (bananas, rice, apples, tea) during acute episode. -Increase fluids to maintain hydration. EYEBALL protrusion and eye irritation: -Apply cool moist compresses. -Shield eyes with eyes patches or sunglasses. -Cover or tape eyelids shut at night. -Sleep with head of bed elevated. -Limit fluids and sodium to decrease fluid retention in eyes. -Notify physician of visual disturbances. Use artificial tears or eye lubricants as ordered. HEAT INTOLETANCE;-Provide cool environment. -Dress appropriately. Encourage good hygiene. DEPRESSION; -Obtain emotional support or counseling as needed. -Dress attractively to increase self-esteem.

IS AWARE OF POSSIBLE MEDICAL TREATMENT:
Suppression of hormone production with medication (check medication classification for thyroid tissue with radioactive iodine. Surgical removal of part of the thyroid gland.

SIGNS AND SYMPTOMS OF POSSIBLE COMPLICATIONS:
Thyroid storm or thyrotoxic crisis has a sudden onset with symptoms of high fever,  very rapid heart rate, delirium, dehydration, and extreme irritability. Prompt treatment is necessary because it can be life threatening. If untreated, thyroid disease can cause elevated cholesterol levels, heart disease, infertility, and osteoporosis."
TEACHING GUIDES (Ileostomy Care),"PATHOPHYSIOLOGY: 
Is a surgical opening between the ileum and the abdominal wall. A small portion of the intestine es sewed to the surface of the abdomen to crate a ""stoma"". The purpose of an ileostomy is to bypass a diseased colon and rid the body of wastes. The small intestine is approximately 18 feet long and is divided into three sections. The ileum is the last section of the small intestine and is connected to the large intestine at the ileocecal valve. Digestive enzymes are secreted and fluid is absorbed in the small intestine.

EMPTYING A POUCH:
Empty when one third full. Sit on toilet or place on chair with the pouch opening placed in the toilet. Put toilet paper on the surface of the toilet water to avoid splashing. Remove clamp and let contents empty into toilet. Squeeze the remaining contests out of the pouch. While holding up the end of the pouch, pour a cup of water into pouch, swish, and empty. Do not get the stoma or adhesive seal wet. Use toilet paper to clean around opening of pouch and clamp pouch shut.

PROCEDURE OF CHANGING THE POUCHING SYSTEM:
Change pouch every 5 to 7 days or as needed. Assemble all of the equipment. Hold skin taut, and peel off the pouch being worn. Wash the skin thoroughly with soap and water, rise, and par dry. Inspect the stoma for any change in size or color. Inspect the skin for signs of irritation and apply  skin barrier. Apply pouch over the stoma.

DIETARY MEASURES:
Chew food slowly and completely for better digestion. Drink at least six to eight glasses of fluids per day. Avoid foods that may cause blockage such as celery, corn, lettuce, popcorn, nuts coleslaw, and seeds. Decrease fiber in diet if stools are excessively loose. Limit or avoid foods such as eggs, fish, onions, and cabbage, which can increase odor. Eat foods such as spinach, parsley, yogurt, or buttermilk, which can decrease odor.

MEASURES FOR MANAGEMENTS:
Avoid laxatives, enteric-coated pills, and timed-release pills. Avoid stress and smoking. Assess for skin irritation caused by enzymes in stools, and provide skin care. Avoid contact sports and weight lifting. Avoid tight, constrictive clothing. Keep extra ileostomy supplies on hand. Wear a Medic Alert bracelet. Report to physician any signs of bleeding, persistent diarrhea, change in size or color of stoma, and continued skin irritation.

POSSIBLE COMPLICATIONS:
Dehydration, Bowel obstruction, Electrolyte imbalance.
"
